scenario,domain,attack_type,src,dst,attack_at,detection_at,mitigation_at,unblock_at,Td_s,Tm_s,Tu_s
2a,enterprise,ICMP_FLOOD,10.0.3.10,10.99.0.1,2026-07-18 02:20:09,2026-07-18 02:20:09,2026-07-18 02:20:09,2026-07-18 02:21:18,0.0,0.0,69.0
2a,enterprise,ICMP_FLOOD,10.99.0.1,10.0.3.10,,2026-07-18 02:20:09,2026-07-18 02:20:09,2026-07-18 02:21:16,,0.0,67.0
2a,enterprise,ICMP_FLOOD,10.99.0.1,10.0.4.10,,2026-07-18 02:20:09,2026-07-18 02:20:09,2026-07-18 02:21:16,,0.0,67.0
2a,enterprise,MULTIDOMAIN_DISTRIBUTED_ATTACK,*,10.99.0.1,2026-07-18 02:20:09,2026-07-18 02:20:09,2026-07-18 02:20:09,2026-07-18 02:21:06,0.0,0.0,57.0
2a,mobile,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.60.1.3,,,,2026-07-18 02:20:09,2026-07-18 02:21:06,,,57.0
2a,mobile,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.60.1.4,,,,2026-07-18 02:20:09,2026-07-18 02:21:06,,,57.0
2a,mobile,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.60.2.3,,,,2026-07-18 02:20:09,2026-07-18 02:21:06,,,57.0
2a,mobile,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.60.2.4,,,,2026-07-18 02:20:09,2026-07-18 02:21:06,,,57.0
2a,mobile,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.60.3.3,,,,2026-07-18 02:20:09,2026-07-18 02:21:06,,,57.0
2a,mobile,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.60.3.4,,,,2026-07-18 02:20:09,2026-07-18 02:21:06,,,57.0
2a,mobile,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.60.4.3,,,,2026-07-18 02:20:09,2026-07-18 02:21:06,,,57.0
2a,mobile,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.60.4.4,,,,2026-07-18 02:20:09,2026-07-18 02:21:06,,,57.0
2a,enterprise,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.0.1.10,10.99.0.1,2026-07-18 02:20:09,2026-07-18 02:20:09,2026-07-18 02:20:12,2026-07-18 02:21:08,0.0,3.0,56.0
2a,enterprise,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.0.2.10,10.99.0.1,2026-07-18 02:20:09,2026-07-18 02:20:09,2026-07-18 02:20:12,2026-07-18 02:21:08,0.0,3.0,56.0
2a,enterprise,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.0.3.10,10.99.0.1,2026-07-18 02:20:09,2026-07-18 02:20:09,2026-07-18 02:20:22,2026-07-18 02:21:18,0.0,13.0,56.0
2a,enterprise,SYN_FLOOD,10.0.3.10,10.99.0.1,2026-07-18 02:20:09,2026-07-18 02:20:22,2026-07-18 02:21:18,2026-07-18 02:21:18,13.0,56.0,0.0
2a,enterprise,SYN_FLOOD,10.0.4.10,10.99.0.1,2026-07-18 02:20:09,2026-07-18 02:20:22,2026-07-18 02:21:22,2026-07-18 02:22:13,13.0,60.0,51.0
2a,mobile,SYN_FLOOD,10.60.2.3,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:47,2026-07-18 02:23:47,2026-07-18 02:24:46,1.0,0.0,59.0
2a,enterprise,ICMP_FLOOD,10.99.0.1,10.0.4.10,,2026-07-18 02:23:47,2026-07-18 02:23:47,2026-07-18 02:24:45,,0.0,58.0
2a,mobile,SYN_FLOOD,10.60.1.3,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:47,2026-07-18 02:23:49,2026-07-18 02:24:47,1.0,2.0,58.0
2a,mobile,SYN_FLOOD,10.60.1.4,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:47,2026-07-18 02:23:50,2026-07-18 02:24:47,1.0,3.0,57.0
2a,mobile,SYN_FLOOD,10.60.2.4,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:47,2026-07-18 02:23:50,2026-07-18 02:24:48,1.0,3.0,58.0
2a,enterprise,ICMP_FLOOD,10.99.0.1,10.0.1.10,,2026-07-18 02:23:50,2026-07-18 02:23:50,2026-07-18 02:24:45,,0.0,55.0
2a,enterprise,ICMP_FLOOD,10.99.0.1,10.0.2.10,,2026-07-18 02:23:50,2026-07-18 02:23:50,2026-07-18 02:24:45,,0.0,55.0
2a,enterprise,ICMP_FLOOD,10.99.0.1,10.0.3.10,,2026-07-18 02:23:50,2026-07-18 02:23:50,2026-07-18 02:24:45,,0.0,55.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.61.1.140,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:51,2026-07-18 02:23:52,2026-07-18 02:24:52,5.0,1.0,60.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.61.1.141,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:51,2026-07-18 02:23:52,2026-07-18 02:24:52,5.0,1.0,60.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.61.1.142,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:51,2026-07-18 02:23:52,2026-07-18 02:24:52,5.0,1.0,60.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.61.1.143,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:51,2026-07-18 02:23:52,2026-07-18 02:24:52,5.0,1.0,60.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.61.1.144,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:51,2026-07-18 02:23:52,2026-07-18 02:24:52,5.0,1.0,60.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.61.1.145,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:51,2026-07-18 02:23:52,2026-07-18 02:24:52,5.0,1.0,60.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.61.1.146,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:51,2026-07-18 02:23:52,2026-07-18 02:24:52,5.0,1.0,60.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.61.1.147,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:51,2026-07-18 02:23:52,2026-07-18 02:24:52,5.0,1.0,60.0
2a,mobile,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.60.3.3,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:47,2026-07-18 02:23:53,2026-07-18 02:24:50,1.0,6.0,57.0
